Offence,Section,Act,Definition,Points to Prove,CJS Code,Maximum Penalty,Charging Authority,Relevant Case Law,Notes,Category
Cybercrime offence 796,97,Computer Misuse Act 1990,Unlawfully uses computer systems 796,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014097,10 years imprisonment,CPS,R v Example796 [2000] 2 AC 796,Digital crime 796,Cybercrime
Financial crime 797,98,Fraud Act 2006,Dishonestly obtains financial advantage 797,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015098,10 years imprisonment,CPS,R v Example797 [2012] EWCA Crim 797,Economic offence 797,Financial Crime
Terrorism offence 798,99,Terrorism Act 2000,Engages in terrorist-related activity 798,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016099,14 years imprisonment,CPS,R v Example798 [2007] EWCA Crim 798,National security threat 798,Terrorism
Environmental crime 799,100,Environmental Protection Act 1990,Causes environmental damage 799,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017100,5 years imprisonment,Environment Agency,R v Example799 [1996] Env LR 799,Environmental damage 799,Environmental
Corporate offence 800,1,Companies Act 2006,Fails to comply with corporate duties 800,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968001,2 years imprisonment,CPS,R v Example800 [1989] 1 WLR 800,Corporate compliance 800,Corporate Crime
Theft variation 801,2,Theft Act 1968,Dishonestly appropriates property in specific circumstances 801,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969002,7 years imprisonment,CPS,R v Example801 [1982] QB 801,Specific theft circumstances 801,Theft
Assault variation 802,3,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 802,"1. Assault, 2. Unlawfully, 3. Another person",AS1970003,5 years imprisonment,CPS,R v Example802 [1976] 1 WLR 802,Specific assault type 802,Assault
Drug offence variation 803,4,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 803,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971004,14 years imprisonment,CPS,R v Example803 [1986] 82 Cr App R 803,Drug-related conduct 803,Drugs
Traffic offence variation 804,5,Road Traffic Act 1988,Contravenes road traffic regulations 804,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1972005,6 months imprisonment,Police,R v Example804 [1987] RTR 804,Road traffic violation 804,Traffic
Public order offence 805,6,Public Order Act 1986,Disrupts public order in specific manner 805,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1973006,6 months imprisonment,Police,R v Example805 [1987] QB 805,Public disorder 805,Public Order
Cybercrime offence 806,7,Computer Misuse Act 1990,Unlawfully uses computer systems 806,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1974007,10 years imprisonment,CPS,R v Example806 [2000] 2 AC 806,Digital crime 806,Cybercrime
Financial crime 807,8,Fraud Act 2006,Dishonestly obtains financial advantage 807,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1975008,10 years imprisonment,CPS,R v Example807 [2012] EWCA Crim 807,Economic offence 807,Financial Crime
Terrorism offence 808,9,Terrorism Act 2000,Engages in terrorist-related activity 808,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1976009,14 years imprisonment,CPS,R v Example808 [2007] EWCA Crim 808,National security threat 808,Terrorism
Environmental crime 809,10,Environmental Protection Act 1990,Causes environmental damage 809,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1977010,5 years imprisonment,Environment Agency,R v Example809 [1996] Env LR 809,Environmental damage 809,Environmental
Corporate offence 810,11,Companies Act 2006,Fails to comply with corporate duties 810,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1978011,2 years imprisonment,CPS,R v Example810 [1989] 1 WLR 810,Corporate compliance 810,Corporate Crime
Theft variation 811,12,Theft Act 1968,Dishonestly appropriates property in specific circumstances 811,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1979012,7 years imprisonment,CPS,R v Example811 [1982] QB 811,Specific theft circumstances 811,Theft
Assault variation 812,13,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 812,"1. Assault, 2. Unlawfully, 3. Another person",AS1980013,5 years imprisonment,CPS,R v Example812 [1976] 1 WLR 812,Specific assault type 812,Assault
Drug offence variation 813,14,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 813,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1981014,14 years imprisonment,CPS,R v Example813 [1986] 82 Cr App R 813,Drug-related conduct 813,Drugs
Traffic offence variation 814,15,Road Traffic Act 1988,Contravenes road traffic regulations 814,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1982015,6 months imprisonment,Police,R v Example814 [1987] RTR 814,Road traffic violation 814,Traffic
Public order offence 815,16,Public Order Act 1986,Disrupts public order in specific manner 815,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1983016,6 months imprisonment,Police,R v Example815 [1987] QB 815,Public disorder 815,Public Order
Cybercrime offence 816,17,Computer Misuse Act 1990,Unlawfully uses computer systems 816,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1984017,10 years imprisonment,CPS,R v Example816 [2000] 2 AC 816,Digital crime 816,Cybercrime
Financial crime 817,18,Fraud Act 2006,Dishonestly obtains financial advantage 817,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1985018,10 years imprisonment,CPS,R v Example817 [2012] EWCA Crim 817,Economic offence 817,Financial Crime
Terrorism offence 818,19,Terrorism Act 2000,Engages in terrorist-related activity 818,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1986019,14 years imprisonment,CPS,R v Example818 [2007] EWCA Crim 818,National security threat 818,Terrorism
Environmental crime 819,20,Environmental Protection Act 1990,Causes environmental damage 819,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1987020,5 years imprisonment,Environment Agency,R v Example819 [1996] Env LR 819,Environmental damage 819,Environmental
Corporate offence 820,21,Companies Act 2006,Fails to comply with corporate duties 820,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1988021,2 years imprisonment,CPS,R v Example820 [1989] 1 WLR 820,Corporate compliance 820,Corporate Crime
Theft variation 821,22,Theft Act 1968,Dishonestly appropriates property in specific circumstances 821,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1989022,7 years imprisonment,CPS,R v Example821 [1982] QB 821,Specific theft circumstances 821,Theft
Assault variation 822,23,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 822,"1. Assault, 2. Unlawfully, 3. Another person",AS1990023,5 years imprisonment,CPS,R v Example822 [1976] 1 WLR 822,Specific assault type 822,Assault
Drug offence variation 823,24,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 823,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1991024,14 years imprisonment,CPS,R v Example823 [1986] 82 Cr App R 823,Drug-related conduct 823,Drugs
Traffic offence variation 824,25,Road Traffic Act 1988,Contravenes road traffic regulations 824,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR1992025,6 months imprisonment,Police,R v Example824 [1987] RTR 824,Road traffic violation 824,Traffic
Public order offence 825,26,Public Order Act 1986,Disrupts public order in specific manner 825,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO1993026,6 months imprisonment,Police,R v Example825 [1987] QB 825,Public disorder 825,Public Order
Cybercrime offence 826,27,Computer Misuse Act 1990,Unlawfully uses computer systems 826,"1. Computer system, 2. Unauthorised access, 3. Intent",CY1994027,10 years imprisonment,CPS,R v Example826 [2000] 2 AC 826,Digital crime 826,Cybercrime
Financial crime 827,28,Fraud Act 2006,Dishonestly obtains financial advantage 827,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC1995028,10 years imprisonment,CPS,R v Example827 [2012] EWCA Crim 827,Economic offence 827,Financial Crime
Terrorism offence 828,29,Terrorism Act 2000,Engages in terrorist-related activity 828,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE1996029,14 years imprisonment,CPS,R v Example828 [2007] EWCA Crim 828,National security threat 828,Terrorism
Environmental crime 829,30,Environmental Protection Act 1990,Causes environmental damage 829,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN1997030,5 years imprisonment,Environment Agency,R v Example829 [1996] Env LR 829,Environmental damage 829,Environmental
Corporate offence 830,31,Companies Act 2006,Fails to comply with corporate duties 830,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1998031,2 years imprisonment,CPS,R v Example830 [1989] 1 WLR 830,Corporate compliance 830,Corporate Crime
Theft variation 831,32,Theft Act 1968,Dishonestly appropriates property in specific circumstances 831,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1999032,7 years imprisonment,CPS,R v Example831 [1982] QB 831,Specific theft circumstances 831,Theft
Assault variation 832,33,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 832,"1. Assault, 2. Unlawfully, 3. Another person",AS2000033,5 years imprisonment,CPS,R v Example832 [1976] 1 WLR 832,Specific assault type 832,Assault
Drug offence variation 833,34,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 833,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2001034,14 years imprisonment,CPS,R v Example833 [1986] 82 Cr App R 833,Drug-related conduct 833,Drugs
Traffic offence variation 834,35,Road Traffic Act 1988,Contravenes road traffic regulations 834,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2002035,6 months imprisonment,Police,R v Example834 [1987] RTR 834,Road traffic violation 834,Traffic
Public order offence 835,36,Public Order Act 1986,Disrupts public order in specific manner 835,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2003036,6 months imprisonment,Police,R v Example835 [1987] QB 835,Public disorder 835,Public Order
Cybercrime offence 836,37,Computer Misuse Act 1990,Unlawfully uses computer systems 836,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2004037,10 years imprisonment,CPS,R v Example836 [2000] 2 AC 836,Digital crime 836,Cybercrime
Financial crime 837,38,Fraud Act 2006,Dishonestly obtains financial advantage 837,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2005038,10 years imprisonment,CPS,R v Example837 [2012] EWCA Crim 837,Economic offence 837,Financial Crime
Terrorism offence 838,39,Terrorism Act 2000,Engages in terrorist-related activity 838,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2006039,14 years imprisonment,CPS,R v Example838 [2007] EWCA Crim 838,National security threat 838,Terrorism
Environmental crime 839,40,Environmental Protection Act 1990,Causes environmental damage 839,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2007040,5 years imprisonment,Environment Agency,R v Example839 [1996] Env LR 839,Environmental damage 839,Environmental
Corporate offence 840,41,Companies Act 2006,Fails to comply with corporate duties 840,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC2008041,2 years imprisonment,CPS,R v Example840 [1989] 1 WLR 840,Corporate compliance 840,Corporate Crime
Theft variation 841,42,Theft Act 1968,Dishonestly appropriates property in specific circumstances 841,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH2009042,7 years imprisonment,CPS,R v Example841 [1982] QB 841,Specific theft circumstances 841,Theft
Assault variation 842,43,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 842,"1. Assault, 2. Unlawfully, 3. Another person",AS2010043,5 years imprisonment,CPS,R v Example842 [1976] 1 WLR 842,Specific assault type 842,Assault
Drug offence variation 843,44,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 843,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR2011044,14 years imprisonment,CPS,R v Example843 [1986] 82 Cr App R 843,Drug-related conduct 843,Drugs
Traffic offence variation 844,45,Road Traffic Act 1988,Contravenes road traffic regulations 844,"1. Drives, 2. Motor vehicle, 3. Contravenes regulations",TR2012045,6 months imprisonment,Police,R v Example844 [1987] RTR 844,Road traffic violation 844,Traffic
Public order offence 845,46,Public Order Act 1986,Disrupts public order in specific manner 845,"1. Public place, 2. Disorderly conduct, 3. Threatens peace",PO2013046,6 months imprisonment,Police,R v Example845 [1987] QB 845,Public disorder 845,Public Order
Cybercrime offence 846,47,Computer Misuse Act 1990,Unlawfully uses computer systems 846,"1. Computer system, 2. Unauthorised access, 3. Intent",CY2014047,10 years imprisonment,CPS,R v Example846 [2000] 2 AC 846,Digital crime 846,Cybercrime
Financial crime 847,48,Fraud Act 2006,Dishonestly obtains financial advantage 847,"1. Dishonesty, 2. Financial advantage, 3. Deception",FC2015048,10 years imprisonment,CPS,R v Example847 [2012] EWCA Crim 847,Economic offence 847,Financial Crime
Terrorism offence 848,49,Terrorism Act 2000,Engages in terrorist-related activity 848,"1. Terrorist activity, 2. Intent, 3. Knowledge",TE2016049,14 years imprisonment,CPS,R v Example848 [2007] EWCA Crim 848,National security threat 848,Terrorism
Environmental crime 849,50,Environmental Protection Act 1990,Causes environmental damage 849,"1. Environmental harm, 2. Polluting activity, 3. No licence",EN2017050,5 years imprisonment,Environment Agency,R v Example849 [1996] Env LR 849,Environmental damage 849,Environmental
Corporate offence 850,51,Companies Act 2006,Fails to comply with corporate duties 850,"1. Corporate duty, 2. Failure to comply, 3. No reasonable excuse",CC1968051,2 years imprisonment,CPS,R v Example850 [1989] 1 WLR 850,Corporate compliance 850,Corporate Crime
Theft variation 851,52,Theft Act 1968,Dishonestly appropriates property in specific circumstances 851,"1. Appropriation, 2. Property, 3. Dishonesty, 4. Intent",TH1969052,7 years imprisonment,CPS,R v Example851 [1982] QB 851,Specific theft circumstances 851,Theft
Assault variation 852,53,Offences Against the Person Act 1861,Unlawfully assaults another person in specific manner 852,"1. Assault, 2. Unlawfully, 3. Another person",AS1970053,5 years imprisonment,CPS,R v Example852 [1976] 1 WLR 852,Specific assault type 852,Assault
Drug offence variation 853,54,Misuse of Drugs Act 1971,Unlawfully deals with controlled substances 853,"1. Controlled substance, 2. Unlawfully, 3. Specific conduct",DR1971054,14 years imprisonment,CPS,R v Example853 [1986] 82 Cr App R 853,Drug-related conduct 853,Drugs
